"species","Category","GeneCount"
"Trichophyton_soudanese","Nucleotide metabolism",128
"Trichophyton_soudanese","Other",665
"Trichophyton_soudanese","Xenobiotics biodegradation and metabolism",70
"Trichophyton_tonsurans","Amino acid metabolism",617
"Trichophyton_tonsurans","Biosynthesis of other secondary metabolites",183
"Trichophyton_tonsurans","Carbohydrate metabolism",712
"Trichophyton_tonsurans","Energy metabolism",243
"Trichophyton_tonsurans","Glycan biosynthesis and metabolism",251
"Trichophyton_tonsurans","Lipid metabolism",389
"Trichophyton_tonsurans","Metabolism of cofactors and vitamins",463
"Trichophyton_tonsurans","Metabolism of other amino acids",222
"Trichophyton_tonsurans","Metabolism of terpenoids and polyketides",111
"Trichophyton_tonsurans","Nucleotide metabolism",397
"Trichophyton_tonsurans","Other",1737
"Trichophyton_tonsurans","Xenobiotics biodegradation and metabolism",216
"Trichophyton_violaceum","Amino acid metabolism",219
"Trichophyton_violaceum","Biosynthesis of other secondary metabolites",62
"Trichophyton_violaceum","Carbohydrate metabolism",242
"Trichophyton_violaceum","Energy metabolism",82
"Trichophyton_violaceum","Glycan biosynthesis and metabolism",84
"Trichophyton_violaceum","Lipid metabolism",130
"Trichophyton_violaceum","Metabolism of cofactors and vitamins",150
"Trichophyton_violaceum","Metabolism of other amino acids",74
"Trichophyton_violaceum","Metabolism of terpenoids and polyketides",35
"Trichophyton_violaceum","Nucleotide metabolism",129
"Trichophyton_violaceum","Other",630
"Trichophyton_violaceum","Xenobiotics biodegradation and metabolism",71
"Trichosporon_ovoides","Amino acid metabolism",811
"Trichosporon_ovoides","Biosynthesis of other secondary metabolites",194
"Trichosporon_ovoides","Carbohydrate metabolism",936
"Trichosporon_ovoides","Energy metabolism",308
"Trichosporon_ovoides","Glycan biosynthesis and metabolism",333
"Trichosporon_ovoides","Lipid metabolism",526
"Trichosporon_ovoides","Metabolism of cofactors and vitamins",548
"Trichosporon_ovoides","Metabolism of other amino acids",340
"Trichosporon_ovoides","Metabolism of terpenoids and polyketides",147
"Trichosporon_ovoides","Nucleotide metabolism",531
"Trichosporon_ovoides","Other",2257
"Trichosporon_ovoides","Xenobiotics biodegradation and metabolism",347
